#{"t_start": 1642699464.750425, "env_id": null}
r,l,t
-43.533781,31,0.042819
-136.785052,71,0.095811
-639.524888,387,0.311768
-808.099064,501,0.604863
-745.016105,501,0.887603
-137.204861,74,0.928545
-844.932455,501,2.033937
-51.922283,32,2.050362
-468.005029,334,2.220441
-408.169237,346,2.433272
-320.937004,219,2.557083
-489.633676,287,2.709114
-177.828545,93,2.762465
-544.459206,499,3.039082
-755.162975,501,4.135136
-812.854975,501,4.441196
-122.632472,97,4.508382
-469.286126,254,4.672837
-653.461301,501,4.972495
-498.4658,240,5.118681
